natCode,Exista loc si jud
54680,0
60605,0
112735,0
102552,0
162318,0
60669,0
27089,0
27178,0
1160,1
60909,0
1179,0
89446,0
117060,0
118227,0
114989,0
2595,0
145514,0
136722,0
138636,0
11780,0
3413,0
42209,0
141045,0
76193,0
60892,0
115085,0
100763,0
146806,0
36220,0
12073,0
67611,0
72695,0
174879,1
124652,0
174897,0
31583,0
117337,0
138057,0
116885,0
116894,0
18180,0
131906,0
110599,0
100790,0
137318,0
169707,0
14478,0
70539,0
100843,0
127439,0
51154,0
35777,0
121117,0
21016,0
43135,0
142097,0
55482,0
55491,0
63269,0
161507,0
56586,0
144134,0
124956,0
143691,1
35170,0
35189,0
139946,0
58026,0
137201,0
115655,0
34798,0
34805,0
12527,0
11254,0
63786,0
63795,0
63820,0
55605,0
1222,1
1231,0
144811,0
37798,0
160582,0
1026,1
2149,0
21472,0
78481,0
154086,0
13917,0
30666,0
36140,0
49563,0
60954,0
70192,0
92792,0
96076,0
114612,0
128329,0
154870,0
162023,0
163397,0
33293,0
13828,0
13837,0
131951,0
131942,0
145621,0
44195,0
157852,0
164419,0
132155,0
27926,0
64210,0
163636,0
13944,0
18260,0
111603,0
84941,0
46037,0
10079,0
75374,0
170248,0
7883,0
26706,1
141330,0
151807,1
83213,0
100166,0
95621,0
103050,0
45691,0
94143,0
162078,0
175956,0
82154,0
99691,0
100861,0
97571,0
48799,0
139161,0
61014,0
127402,0
78551,0
157709,0
139072,0
144018,0
145122,0
70575,0
70432,0
113947,0
62556,0
9752,0
122846,0
92195,0
92202,0
139991,0
2327,0
2318,0
27347,0
27356,0
31146,0
90459,0
87861,0
86767,0
30292,0
143897,0
156053,0
88467,0
89044,0
64899,0
9306,0
17352,0
46457,0
55632,0
66241,0
79512,0
85145,0
115156,0
131997,0
140262,0
14183,0
14771,0
59452,0
66973,0
128971,0
179427,0
35447,0
112147,0
168238,0
44952,0
92845,0
92854,0
72294,0
168318,0
70646,0
70682,0
44872,0
138459,0
138468,0
145523,0
5595,0
63090,0
56862,0
92881,0
83865,0
82840,0
12894,0
175135,0
175144,0
171557,0
118959,0
136777,0
95676,0
3477,0
101396,0
177575,0
64363,0
14192,0
114532,0
33649,0
50898,0
46572,0
79852,0
79861,0
14003,0
64791,0
65388,1
78613,0
87228,0
170186,0
66544,0
27301,0
56112,0
148532,0
135048,0
23145,0
152378,0
136811,0
21141,0
81111,0
51644,0
55696,0
114827,0
40535,0
9805,0
30167,0
137568,0
33033,0
70735,0
115192,0
143931,0
144946,0
144250,0
132020,0
101476,0
64951,0
9271,1
96352,0
121171,0
124778,0
12536,0
167491,0
89179,0
45021,0
146879,0
37413,0
34716,0
78677,0
49457,0
128249,0
128258,0
86712,0
140609,0
9841,0
120272,0
35009,0
64924,0
34663,0
160341,0
124518,0
21105,0
58419,0
87870,0
136857,0
136866,0
107010,0
109283,0
14067,0
176463,0
149557,0
14209,0
13383,0
146762,0
70753,0
149986,0
55507,0
111024,0
132084,0
132146,0
173702,0
43885,0
2390,0
107029,0
108730,0
22683,0
41408,0
107056,0
131648,0
131657,0
64960,0
80445,0
84004,0
162407,0
162942,0
84013,0
100889,0
169048,0
165639,0
144820,0
177744,0
51252,0
95756,0
3057,0
82706,0
27409,0
143968,0
143977,0
60963,0
171343,0
80926,0
33747,0
117444,0
162611,0
175153,0
162158,0
52188,0
82001,0
81004,0
