countyId,PCR 1,PCR 2,PCR 3,PCR 4,PCR 5,PCR 6,PCR 7,PCR 8,PCR 9,PCR 10,PCR 11,PCR 12,PCR 13,PCR 14,PCR 15,PCR 16,PCR 17,PCR 18,PCR 19,PCR 20,PCR 21,PCR 22,PCR 23,PCR 24,PCR 25,PCR 26,PCR 27,PCR 28,PCR 29,PCR 30,PCR 31,Deces 1,Deces 2,Deces 3,Deces 4,Deces 5,Deces 6,Deces 7,Deces 8,Deces 9,Deces 10,Deces 11,Deces 12,Deces 13,Deces 14,Deces 15,Deces 16,Deces 17,Deces 18,Deces 19,Deces 20,Deces 21,Deces 22,Deces 23,Deces 24,Deces 25,Deces 26,Deces 27,Deces 28,Deces 29,Deces 30,Deces 31,ATI 1,ATI 2,ATI 3,ATI 4,ATI 5,ATI 6,ATI 7,ATI 8,ATI 9,ATI 10,ATI 11,ATI 12,ATI 13,ATI 14,ATI 15,ATI 16,ATI 17,ATI 18,ATI 19,ATI 20,ATI 21,ATI 22,ATI 23,ATI 24,ATI 25,ATI 26,ATI 27,ATI 28,ATI 29,ATI 30,ATI 31,Doze 1,Doze 2,Doze 3,Doze 4,Doze 5,Doze 6,Doze 7,Doze 8,Doze 9,Doze 10,Doze 11,Doze 12,Doze 13,Doze 14,Doze 15,Doze 16,Doze 17,Doze 18,Doze 19,Doze 20,Doze 21,Doze 22,Doze 23,Doze 24,Doze 25,Doze 26,Doze 27,Doze 28,Doze 29,Doze 30,Doze 31
1,1589,1772,1278,1507,2221,1164,457,1588,1440,1715,1495,1304,830,285,1790,1479,1495,1459,1583,992,333,1686,1636,1954,1865,1243,661,332,1604,1340,1562,4,4,8,9,6,3,3,2,5,9,10,6,2,6,11,4,7,10,6,2,4,8,7,10,6,9,9,7,6,9,8,47,47,47,47,47,47,47,46,49,50,49,51,52,51,49,49,50,55,53,59,59,62,62,59,61,56,61,62,62,62,61,851,819,902,1057,1016,1045,1002,960,1033,967,1179,1184,1157,1038,1278,1386,1393,895,943,993,894,955,1030,1035,1031,964,1008,997,1002,1040,961
2,719,883,713,633,509,291,312,674,599,623,587,469,259,346,689,746,646,633,635,246,313,563,617,705,556,533,236,361,635,872,702,5,2,2,4,0,2,1,2,2,2,2,4,3,1,6,6,1,4,1,3,0,2,2,1,1,6,1,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,20,20,19,20,18,21,21,21,18,21,21,19,18,21,734,732,725,652,728,882,752,657,745,927,814,866,845,863,1353,1173,1063,970,951,1002,991,1075,1432,1522,1619,1585,1739,1642,1642,1427,1568
3,673,633,973,644,617,281,184,421,586,1026,708,643,489,433,641,568,812,753,679,258,225,598,526,1121,640,648,424,341,770,679,940,4,2,3,1,1,2,2,4,3,8,1,0,0,4,0,2,2,6,6,4,4,6,6,3,1,3,2,3,4,2,3,32,32,32,32,32,32,32,32,30,32,37,37,38,38,39,39,38,38,38,39,38,40,41,41,41,41,41,41,41,41,41,792,791,784,1046,987,1055,957,915,998,1074,1035,949,993,903,1109,1175,1026,1032,985,1102,1011,1054,1171,1047,1057,1005,1089,939,940,1263,1161
4,434,361,523,410,407,139,119,378,472,607,287,375,139,85,443,391,436,384,416,256,136,557,490,704,497,534,144,133,565,395,535,2,1,2,0,2,1,0,3,1,4,0,6,1,1,0,4,4,4,0,1,1,4,1,1,1,1,5,0,3,3,5,28,28,28,28,28,28,28,28,29,30,31,31,30,30,31,31,33,32,34,33,35,36,34,34,34,33,34,34,33,32,34,671,673,664,730,840,960,935,782,957,796,738,823,802,748,1123,1122,1111,1192,1176,1065,1063,1006,1083,994,1034,1014,1092,1062,1095,1111,1066
5,383,743,586,798,588,291,262,518,542,760,846,597,545,153,618,641,729,864,703,309,159,624,512,833,931,747,482,149,656,786,904,5,3,1,6,3,2,2,3,2,2,3,3,1,4,2,3,3,6,4,3,1,3,2,5,2,3,5,9,5,1,4,193,193,193,193,193,193,193,193,211,225,226,228,230,240,240,247,255,257,261,260,252,264,256,260,258,267,269,277,288,294,303,977,1026,1304,1654,1435,1413,1440,1397,1524,1880,1755,1818,1479,1363,1589,2005,1601,1689,1526,1413,1302,1337,1692,1833,1915,1590,1516,1554,1777,1815,1908
6,560,551,605,572,467,402,290,574,595,649,602,493,500,275,613,643,527,625,532,511,315,570,641,660,776,439,481,312,668,628,728,0,1,0,3,3,0,6,0,7,7,1,0,4,0,6,4,0,7,7,0,3,6,1,3,6,5,8,12,5,5,0,28,28,28,28,28,28,28,28,30,30,32,33,33,30,30,29,31,31,35,35,35,35,35,35,35,37,36,36,36,36,36,477,478,454,502,522,566,549,535,465,466,625,475,489,425,690,772,701,631,755,699,573,808,868,847,768,835,833,788,911,868,854
7,232,324,475,378,215,100,0,241,290,279,341,236,128,1,233,200,429,315,276,142,1,308,299,341,223,241,106,0,271,272,470,3,2,2,3,2,2,0,2,0,1,0,0,1,2,3,3,0,0,3,3,2,3,3,1,1,2,5,0,5,3,3,46,46,46,46,46,46,46,46,61,59,57,60,57,60,64,64,61,66,68,65,64,65,66,65,68,68,67,65,63,64,68,343,468,398,455,561,523,531,562,817,586,664,619,555,491,656,712,602,639,658,685,651,609,853,749,707,667,624,626,737,984,682
8,337,659,619,526,440,187,144,360,596,630,603,563,226,154,464,501,619,499,445,168,174,652,696,528,759,619,191,180,544,416,524,2,0,2,3,4,2,0,1,0,1,1,2,0,3,3,1,4,2,5,1,2,2,3,4,2,1,1,0,3,4,6,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,7,9,9,9,410,410,429,564,646,604,626,553,529,738,617,588,551,574,703,590,566,529,509,537,553,647,580,577,690,592,596,595,673,629,604
9,158,157,110,449,334,155,41,138,241,266,229,312,87,56,168,262,254,285,108,290,35,174,187,414,342,472,71,91,152,243,182,3,0,2,2,1,3,1,0,1,2,2,0,0,1,6,0,2,0,1,0,0,4,1,4,6,1,0,2,5,0,0,10,10,10,10,10,10,10,10,11,11,8,8,9,8,8,10,11,11,10,12,12,11,10,10,10,11,11,11,12,11,11,1192,1111,1106,1393,1425,1202,1247,1229,1249,1307,1222,1409,1065,1068,1922,2094,1825,1744,1620,1428,1397,1656,2206,2230,2165,2483,2123,1969,2342,2160,2125
10,808,839,1207,1083,1127,402,231,953,951,1236,1109,850,628,370,859,998,1181,1102,981,551,220,993,913,1105,1270,919,626,271,1046,1022,1314,7,2,5,10,2,0,3,5,2,1,6,3,1,0,6,3,4,5,9,4,1,11,6,7,4,12,6,0,8,7,7,13,13,13,13,13,13,13,13,14,14,15,15,13,15,15,15,15,14,15,14,16,15,13,13,15,16,15,14,13,17,17,5337,5137,5489,6188,6471,6826,6425,7089,7680,7673,7594,7320,6296,5642,7250,7747,7618,6998,7440,7008,5045,6256,9217,9151,8803,8645,8554,8187,8988,9774,9881
