UAT,Judet,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31
1 DECEMBRIE,ILFOV,3.463513675,3.702376687,3.344082169,3.224650663,3.224650663,3.344082169,3.105219157,3.344082169,3.224650663,3.463513675,3.344082169,2.627493133,2.985787651,2.985787651,2.985787651,3.344082169,3.102255101,3.579525116,3.818160124,4.534065147,4.653382651,4.768717215,5.126371006,5.364806867,5.841678588,5.722460658,6.080114449,5.597237108,6.192687865,7.264499226,7.383589377
23 AUGUST,CONSTAN?A,0.346740638,0.346740638,0.346740638,0.346740638,0.346740638,0.520110957,1.040221914,1.040221914,1.213592233,1.73370319,1.73370319,1.560332871,1.386962552,1.386962552,1.386962552,1.560332871,1.560874089,1.734304544,1.734304544,1.907734998,1.907734998,1.908396947,1.908396947,2.081887578,1.908396947,1.908396947,2.081887578,1.561686622,2.082248829,2.602811036,2.602811036
ABRAM,BIHOR,1.640419948,1.640419948,1.968503937,1.968503937,1.968503937,1.968503937,1.640419948,1.312335958,1.312335958,1.312335958,0.656167979,0.32808399,0.32808399,0.32808399,0.32808399,0.32808399,0.657030223,0.328515112,0.657030223,0.657030223,0.657030223,0.658327847,0.658327847,0.658327847,0.658327847,0.658327847,1.316655695,1.317957166,1.647446458,1.647446458,1.647446458
ABR?MU?,BIHOR,0.970245796,1.940491591,1.617076326,2.263906856,2.263906856,2.263906856,1.940491591,1.940491591,1.940491591,1.940491591,1.940491591,1.940491591,1.940491591,1.617076326,1.940491591,1.940491591,0.970245796,0.970245796,0.323415265,0.323415265,0.323415265,0.323310702,0.323310702,0.323310702,0.646621403,0.969932105,1.616553508,1.619695497,1.619695497,1.943634597,1.943634597
ACÂ?,SATU MARE,0.984898227,0.984898227,0.656598818,0.656598818,0.656598818,0.656598818,0.328299409,0.328299409,0.328299409,0.328299409,0.328299409,0,0,0,0,0,0.328623069,0.328623069,0.328623069,0.328623069,0.328623069,0.328515112,0.328515112,0.328515112,0.985545335,0.985545335,0.985545335,0.985221675,0.985221675,0.985221675,0.985221675
AC??ARI,MURE?,0.210748156,0.210748156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21079258,0.21079258,0.21079258,0.21079258,0.210837023,0.210837023,0.210837023,0.210837023,0.421674046,0.421674046,0.633312223,0.633312223,0.633312223,0.633312223
ADAMCLISI,CONSTAN?A,1.285897985,1.285897985,1.714530647,1.714530647,1.714530647,1.714530647,1.714530647,1.714530647,1.285897985,1.285897985,1.285897985,1.285897985,0.857265324,0.428632662,0.428632662,0.428632662,0.431220354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD?MU?,MURE?,0.740603592,0.740603592,0.92575449,0.92575449,0.92575449,0.740603592,0.740603592,0.740603592,0.92575449,0.92575449,0.92575449,0.740603592,0.740603592,0.92575449,0.92575449,0.92575449,0.740466494,0.925583117,1.480932988,1.480932988,1.480932988,1.480932988,1.480932988,1.666049611,2.406516105,2.221399482,2.036282858,2.037791775,2.223045572,2.223045572,2.037791775
ADÂNCATA,IALOMI?A,0.429000429,0.429000429,1.287001287,1.287001287,1.287001287,1.287001287,1.716001716,1.287001287,1.287001287,1.287001287,1.287001287,1.287001287,1.287001287,1.287001287,1.287001287,1.287001287,1.289767842,0.429922614,0.429922614,0.859845228,0.859845228,0.860585198,0.860585198,0.860585198,0.430292599,0.430292599,0.860585198,0.862440707,0.862440707,1.293661061,1.293661061
ADÂNCATA,SUCEAVA,1.821493625,1.366120219,0.910746812,0.910746812,0.910746812,0.683060109,0.455373406,0.455373406,0.455373406,0.455373406,0.227686703,0.227686703,0.227686703,0.227686703,0.227686703,0.227686703,0.455580866,0.455580866,0.455580866,0.683371298,1.138952164,0.455477112,1.138692781,1.138692781,1.138692781,1.138692781,1.138692781,1.139471285,0.911577028,1.139471285,1.139471285
