natcode,Incid 1,Incid 2,Incid 3,Incid 4,Incid 5,Incid 6,Incid 7,Incid 8,Incid 9,Incid 10,Incid 11,Incid 12,Incid 13,Incid 14,Incid 15,Incid 16,Incid 17,Incid 18,Incid 19,Incid 20,Incid 21,Incid 22,Incid 23,Incid 24,Incid 25,Incid 26,Incid 27,Incid 28,Incid 29,Incid 30,Incid 31
1213,1.536323339,1.536323339,1.536323339,1.572051789,1.607780238,1.572051789,1.822150937,2.286620783,2.536719932,2.679633731,2.75109063,2.894004429,3.251288926,3.215560477,3.572844975,3.572844975,4.001586371,4.21595707,4.966254514,5.287810562,5.43072436,4.965276867,5.32249103,5.465376695,5.786869441,5.858312274,5.894033691,5.893801642,5.858081632,5.608041562,5.572321552
1017,4.895012835,4.514817663,4.56234206,4.633628655,4.669271952,4.704915249,4.633628655,4.514817663,4.597985357,4.69303415,4.41976887,4.764320745,4.883131736,4.633628655,5.203921412,5.22768361,5.264429925,5.240662748,5.276313514,5.21689557,5.157477625,5.322453609,5.251170749,5.263051226,5.274931702,5.39373647,5.4293779,5.413527731,5.449143044,5.532245444,5.472886587
2130,0.457533158,0.457533158,0.457533158,0.457533158,0.457533158,0.457533158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457764003,0.457764003,0.458457935,0.458457935,0.458457935,0.916915869,0.916915869,0.916915869,0.918307948,0.918307948,0.918307948,0.918307948
2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214698745,2.214698745,2.214698745
2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5576449,0.5576449,0.5576449
2577,0,0,0,0,0,0,0,0,0,0,0,0.616783312,0.616783312,0.616783312,0.616783312,0.616783312,0.617623045,0.617623045,0.617623045,0.617623045,0.617623045,0.618043769,0.618043769,0.618043769,0.618043769,0.618043769,0.618043769,0.618043769,0,0,0
2988,2.366427368,2.839712841,2.839712841,2.366427368,1.893141894,1.893141894,1.419856421,1.893141894,1.419856421,0.946570947,0.946570947,0.946570947,0.946570947,0.946570947,1.419856421,1.419856421,0.9480546,0.9480546,0.9480546,1.422081901,1.896109201,1.418376633,1.418376633,1.891168843,1.891168843,1.891168843,1.891168843,1.89018386,1.89018386,1.89018386,2.362729825
3039,0.793951654,0.59546374,0.59546374,0.59546374,0.59546374,0.59546374,0.59546374,0.396975827,0.396975827,0.396975827,0.198487914,0.198487914,0.198487914,0,0.198487914,0.198487914,0.198618269,0.198618269,0.198618269,0.198618269,0.198618269,0.198705267,0.198705267,0.198705267,0.198705267,0.198705267,0.198705267,0.199010365,0.199010365,0.199010365,0.199010365
1348,1.135365769,1.04802994,1.04802994,1.04802994,1.135365769,1.091697855,1.222701596,1.04802994,1.04802994,1.135365769,1.135365769,1.266369511,1.441041168,1.397373253,1.659380739,1.921388224,2.185604772,2.57901363,2.535301535,2.447877344,2.666437821,2.53395862,2.446580737,2.665025445,2.752403329,2.79609227,2.883470153,3.145603804,3.407737454,3.276670629,3.276670629
3397,0.989409218,0.989409218,0.989409218,1.978818436,1.978818436,1.978818436,1.978818436,1.978818436,1.978818436,1.978818436,1.978818436,0.989409218,0.989409218,0.989409218,0.989409218,0.989409218,0.989409218,0.989409218,0,0,0,0,0,0,0.99483361,1.989667221,2.984500831,3.983702536,3.983702536,3.983702536,3.983702536
9026,0.3986328,0.3986328,0.3986328,0.3986328,0.3986328,0.3986328,0.3986328,0.3986328,0.3986328,0,0,0,0,0,0,0.7972656,0.798317865,0.798317865,0.798317865,0.798317865,0.798317865,0.797616046,0.797616046,0.797616046,0.797616046,0.797616046,0.797616046,1.997552296,1.997552296,1.997552296,1.997552296
3459,0,0,0,0,0,0,0,0,0,0,0,0.637140627,0.637140627,0.637140627,1.911421881,1.911421881,2.548562508,2.548562508,2.548562508,2.548562508,2.548562508,2.552146984,2.552146984,2.552146984,2.552146984,2.552146984,2.552146984,2.557542644,1.918156983,1.918156983,1.918156983
4106,0.45206191,0.45206191,0.45206191,0.45206191,0.45206191,0.45206191,0.45206191,0.45206191,0.45206191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.354835619,1.354835619,1.354835619,1.353488194,1.353488194,1.353488194,2.255813656
3761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
